Problema                 n   K  m   iter |LRC|  z              S                    CPU             
test/max_div_30_2.txt    30  2  4   10   3      49.091694      0 8 17 27            0.059000 ms
test/max_div_30_2.txt    30  2  4   20   2      52.771172      1 8 10 27            0.107000 ms
test/max_div_30_2.txt    30  2  4   20   3      52.771172      1 8 10 27            0.117000 ms
test/max_div_30_2.txt    30  2  5   10   2      78.990166      1 8 10 27 29         0.069000 ms
test/max_div_30_2.txt    30  2  5   10   3      78.990166      1 8 10 27 29         0.074000 ms
test/max_div_30_2.txt    30  2  5   20   2      80.910240      1 8 10 12 27         0.133000 ms
test/max_div_30_2.txt    30  2  5   20   3      80.067528      1 8 10 17 27         0.146000 ms

test/max_div_30_3.txt    30  3  2   10   2      13.073737      6 16                 0.037000 ms
test/max_div_30_3.txt    30  3  2   10   3      13.073737      6 16                 0.040000 ms
test/max_div_30_3.txt    30  3  2   20   2      13.073737      6 16                 0.070000 ms
test/max_div_30_3.txt    30  3  2   20   3      13.073737      6 16                 0.074000 ms
test/max_div_30_3.txt    30  3  3   10   2      34.290527      5 16 23              0.053000 ms
test/max_div_30_3.txt    30  3  3   10   3      34.290527      5 16 23              0.059000 ms
test/max_div_30_3.txt    30  3  3   20   2      34.290527      5 16 23              0.103000 ms
test/max_div_30_3.txt    30  3  3   20   3      34.290527      5 16 23              0.111000 ms
test/max_div_30_3.txt    30  3  4   10   2      63.518414      6 13 16 23           0.071000 ms
test/max_div_30_3.txt    30  3  4   10   3      63.518417      6 13 16 23           0.075000 ms
test/max_div_30_3.txt    30  3  4   20   2      63.701962      5 13 16 23           0.137000 ms
test/max_div_30_3.txt    30  3  4   20   3      63.701958      5 13 16 23           0.148000 ms
test/max_div_30_3.txt    30  3  5   10   2      98.740616      5 8 13 16 23         0.091000 ms
test/max_div_30_3.txt    30  3  5   10   3      98.647095      6 8 13 16 23         0.115000 ms
test/max_div_30_3.txt    30  3  5   20   2      99.592049      5 13 14 16 23        0.171000 ms
test/max_div_30_3.txt    30  3  5   20   3      99.592033      5 13 14 16 23        0.194000 ms

